epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,298.554,1.56077,1.72962,1.3046,0.69701,0.70387,0.71753,0.36125,1.67811,1.53859,1.46328,0.000555022,0.000555022,0.000555022
2,592.582,1.5434,1.25037,1.30151,0.76425,0.6355,0.70043,0.34395,1.66006,1.30227,1.41728,0.00101906,0.00101906,0.00101906
3,889.536,1.52479,1.15398,1.29325,0.76519,0.71358,0.76225,0.40347,1.62338,1.23034,1.38374,0.00139141,0.00139141,0.00139141
4,1173.16,1.50017,1.0965,1.28085,0.77598,0.77566,0.81584,0.45086,1.57345,1.07069,1.37731,0.00125442,0.00125442,0.00125442
5,1457.06,1.4569,1.0227,1.25952,0.82928,0.79855,0.84089,0.46561,1.56689,0.97411,1.36056,0.00111689,0.00111689,0.00111689
6,1741.4,1.4361,0.97109,1.24524,0.85499,0.82167,0.86604,0.49501,1.48887,0.89087,1.28905,0.000979362,0.000979362,0.000979362
7,2024.05,1.43071,0.94458,1.23658,0.85071,0.82661,0.8684,0.49896,1.47215,0.85546,1.29304,0.000841835,0.000841835,0.000841835
8,2305.92,1.39815,0.89467,1.21922,0.86977,0.83379,0.8876,0.51462,1.48355,0.81342,1.28604,0.000704307,0.000704307,0.000704307
9,3618.98,1.37735,0.86222,1.20742,0.85589,0.84821,0.88855,0.51663,1.46492,0.79926,1.27933,0.00056678,0.00056678,0.00056678
10,3905.18,1.35848,0.8309,1.19793,0.88069,0.84154,0.89865,0.52997,1.44396,0.74987,1.2605,0.000429253,0.000429253,0.000429253
11,4211.88,1.33312,0.75172,1.20229,0.87953,0.86183,0.90941,0.54693,1.41221,0.73141,1.23878,0.000291725,0.000291725,0.000291725
12,4499.82,1.31265,0.71137,1.18779,0.87928,0.86593,0.91094,0.55143,1.39837,0.71262,1.23474,0.000154198,0.000154198,0.000154198
